,ep,train,valid,total
0,1,65.77791601419449,21.507544308900833,87.28546032309532
1,2,64.82750082015991,21.653144672513008,86.48064549267292
2,3,63.90504576265812,21.537412106990814,85.44245786964893
3,4,64.21372558176517,21.12672930955887,85.34045489132404
4,5,62.27976933121681,21.05230540037155,83.33207473158836
5,6,60.73590311408043,21.81720319390297,82.5531063079834
6,7,59.11978931725025,21.414431527256966,80.53422084450722
7,8,56.25735503435135,20.085933178663254,76.3432882130146
8,9,55.446542859077454,60.28922367095947,115.73576653003693
9,10,55.41182807087898,20.061611399054527,75.47343946993351
10,11,49.72072710096836,19.337858512997627,69.05858561396599
11,12,47.048685774207115,21.575935393571854,68.62462116777897
12,13,43.48599697649479,32.48629069328308,75.97228766977787
13,14,40.58340983837843,20.032921493053436,60.616331331431866
14,15,36.67899815738201,18.540612772107124,55.219610929489136
15,16,32.872898548841476,17.195066511631012,50.06796506047249
16,17,29.131361737847328,19.154192999005318,48.285554736852646
17,18,25.916095554828644,22.18937274813652,48.105468302965164
18,19,23.41709028929472,19.405467450618744,42.822557739913464
19,20,18.602483190596104,25.02095463871956,43.62343782931566
20,21,18.437296975404024,15.75816524028778,34.195462215691805
21,22,14.516136892139912,17.00727839767933,31.52341528981924
22,23,13.456619177013636,16.0135016143322,29.470120791345835
23,24,11.297362320125103,14.54845742881298,25.845819748938084
24,25,10.037520952522755,15.919340431690216,25.95686138421297
25,26,9.203107494860888,15.946504309773445,25.149611804634333
26,27,7.462670749053359,13.486938059329987,20.949608808383346
27,28,7.185548508539796,13.839476123452187,21.025024631991982
28,29,6.979372847825289,15.118492156267166,22.097865004092455
29,30,6.67231316678226,14.915896534919739,21.588209701702
30,31,5.3690337389707565,13.429510951042175,18.798544690012932
31,32,4.976886197924614,13.309250548481941,18.286136746406555
32,33,5.234723469242454,13.416830562055111,18.651554031297565
33,34,4.95428504422307,13.250893250107765,18.205178294330835
34,35,4.659194329753518,13.172069787979126,17.831264117732644
35,36,4.208531264215708,12.770314022898674,16.978845287114382
36,37,3.8119162395596504,17.403614848852158,21.215531088411808
37,38,3.8010690892115235,13.210303917527199,17.011373006738722
38,39,3.5456873551011086,13.254577368497849,16.800264723598957
39,40,3.3965649530291557,12.679997697472572,16.076562650501728
40,41,3.1999761713668704,12.49794590473175,15.697922076098621
41,42,3.0806809440255165,12.674655608832836,15.755336552858353
42,43,3.200726962648332,13.085722401738167,16.2864493643865
43,44,3.1541714258491993,12.434508793056011,15.58868021890521
44,45,2.9063559221103787,13.67537309974432,16.5817290218547
45,46,3.0275283539667726,12.415237583220005,15.442765937186778
46,47,2.9813256235793233,12.10814218223095,15.089467805810273
47,48,3.0584591310471296,13.016713812947273,16.075172943994403
48,49,2.744666386395693,12.498519897460938,15.24318628385663
49,50,2.826710630208254,12.626620173454285,15.453330803662539
50,51,2.58439470641315,12.302119880914688,14.886514587327838
51,52,2.5361626278609037,13.687224850058556,16.22338747791946
52,53,2.541559579782188,12.21925537288189,14.760814952664077
53,54,2.3548346990719438,12.850827410817146,15.20566210988909
54,55,2.3340818602591753,12.24629794061184,14.580379800871015
55,56,2.3799174996092916,11.989904433488846,14.369821933098137
56,57,2.3285002447664738,12.160838454961777,14.48933869972825
57,58,2.2050437023863196,12.313287630677223,14.518331333063543
58,59,2.1841155979782343,13.585007697343826,15.76912329532206
59,60,2.343389137648046,12.37012680619955,14.713515943847597
60,61,2.1280038645491004,12.591971978545189,14.71997584309429
61,62,2.038454694673419,12.267651066184044,14.306105760857463
62,63,1.9158722562715411,12.356186121702194,14.272058377973735
63,64,1.9607150088995695,12.524651139974594,14.485366148874164
64,65,1.910408515483141,12.337323114275932,14.247731629759073
65,66,1.9750248873606324,12.681329913437366,14.656354800797999
66,67,1.9561218349263072,11.964178636670113,13.92030047159642
67,68,1.9297006190754473,11.62218488752842,13.551885506603867
68,69,1.9054363276809454,12.006179682910442,13.911616010591388
69,70,1.783882918767631,11.968044936656952,13.751927855424583
70,71,1.7597072385251522,12.057203397154808,13.81691063567996
71,72,1.7239735322073102,11.914662763476372,13.638636295683682
72,73,1.7918953886255622,12.00105731189251,13.792952700518072
73,74,1.7636566222645342,11.960654944181442,13.724311566445976
74,75,1.74014225974679,12.066044673323631,13.806186933070421
75,76,1.7106060748919845,11.985944207757711,13.696550282649696
76,77,1.6820557322353125,11.84838680922985,13.530442541465163
77,78,1.6737550483085215,12.247362352907658,13.92111740121618
78,79,1.6357135707512498,11.819053314626217,13.454766885377467
79,80,1.6487346664071083,11.991937592625618,13.640672259032726
80,81,1.6743353307247162,11.911828443408012,13.586163774132729
81,82,1.5747158685699105,12.035828806459904,13.610544675029814
82,83,1.611470710951835,11.849798575043678,13.461269285995513
83,84,1.5203214925713837,11.869993887841702,13.390315380413085
84,85,1.5294308485463262,12.41990302503109,13.949333873577416
85,86,1.5223520724102855,11.770496517419815,13.2928485898301
86,87,1.5480900509282947,11.894355118274689,13.442445169202983
87,88,1.509847084991634,12.592576637864113,14.102423722855747
88,89,1.4189639850519598,11.742081239819527,13.161045224871486
89,90,1.4568890263326466,11.505112744867802,12.962001771200448
90,91,1.5232577095739543,11.702653646469116,13.22591135604307
91,92,1.407901738770306,11.65279906988144,13.060700808651745
92,93,1.4362725759856403,12.338600739836693,13.774873315822333
93,94,1.4830405190587044,11.733475863933563,13.216516382992268
94,95,1.4017207948490977,11.803588584065437,13.205309378914535
95,96,1.4088548570871353,12.119444116950035,13.52829897403717
96,97,1.3566859271377325,11.647889718413353,13.004575645551085
97,98,1.3501921957358718,11.536583200097084,12.886775395832956
98,99,1.3062516176141798,11.660261034965515,12.966512652579695
99,100,1.2697442690841854,11.242878757417202,12.512623026501387
100,101,1.3169069988653064,12.328712493181229,13.645619492046535
101,102,1.3406384740956128,11.989338248968124,13.329976723063737
102,103,1.3318186728283763,11.623358152806759,12.955176825635135
103,104,1.3000052026472986,11.57346323877573,12.873468441423029
104,105,1.300013274885714,11.737278893589973,13.037292168475688
105,106,1.260462407488376,11.864450424909592,13.124912832397968
106,107,1.2556060892529786,11.612521141767502,12.86812723102048
107,108,1.2701105354353786,11.664106622338295,12.934217157773674
108,109,1.2826276724226773,11.574781626462936,12.857409298885614
109,110,1.2171876430511475,11.549245566129684,12.766433209180832
110,111,1.2090245792642236,11.949689008295536,13.15871358755976
111,112,1.339491707738489,11.755233325064182,13.094725032802671
112,113,1.2459576893597841,11.593382127583027,12.839339816942811
113,114,1.2267474960535765,11.380812883377075,12.607560379430652
114,115,1.1916845054365695,11.832197040319443,13.023881545756012
115,116,1.275537755805999,11.484993316233158,12.760531072039157
116,117,1.211155722849071,11.891940206289291,13.103095929138362
117,118,1.1948624453507364,11.417233861982822,12.612096307333559
118,119,1.1523437169380486,11.53762062638998,12.689964343328029
119,120,1.1439829650335014,11.552186146378517,12.696169111412019
120,121,1.108925397042185,11.881565764546394,12.99049116158858
121,122,1.074674871750176,11.557038821280003,12.631713693030179
122,123,1.0995471677742898,11.468087866902351,12.567635034676641
123,124,1.0542941484600306,11.57656081020832,12.630854958668351
124,125,1.0349497580900788,11.433432050049305,12.468381808139384
125,126,1.1066842125728726,11.614979863166809,12.721664075739682
126,127,1.0375430439598858,11.490643784403801,12.528186828363687
127,128,0.9869797485880554,11.501262575387955,12.48824232397601
128,129,1.0394812989979982,11.531365431845188,12.570846730843186
129,130,1.0642676232382655,11.560948327183723,12.625215950421989
130,131,0.9906635209918022,11.650098577141762,12.640762098133564
131,132,1.0713093746453524,11.464652515947819,12.535961890593171
132,133,0.9981869249604642,11.543819934129715,12.54200685909018
133,134,1.0069073331542313,11.503269724547863,12.510177057702094
134,135,0.9948268975131214,11.578977257013321,12.573804154526442
135,136,0.9534067593049258,11.475122280418873,12.428529039723799
136,137,1.0850840453058481,11.417030215263367,12.502114260569215
137,138,0.9523043264634907,11.443295769393444,12.395600095856935
138,139,0.9611004199832678,12.409523338079453,13.37062375806272
139,140,0.9514465271495283,11.451578997075558,12.403025524225086
140,141,0.9703847812488675,11.407739080488682,12.37812386173755
141,142,0.9601716115139425,11.494120888411999,12.454292499925941
142,143,0.9521584240719676,11.648290924727917,12.600449348799884
143,144,1.0155874537304044,11.545298457145691,12.560885910876095
144,145,0.9892500913701952,11.494761034846306,12.484011126216501
145,146,0.9655741481110454,11.387460924685001,12.353035072796047
146,147,0.9675325881689787,12.0943393856287,13.061871973797679
147,148,0.9368807123973966,11.433524519205093,12.37040523160249
148,149,0.9272055155597627,11.46147808432579,12.388683599885553
149,150,0.9444037596695125,11.437418453395367,12.38182221306488
150,151,0.9529144875705242,11.541786670684814,12.494701158255339
151,152,0.9506736733019352,11.361343421041965,12.3120170943439
152,153,0.9221973028033972,11.53676837682724,12.458965679630637
153,154,0.9676175443455577,12.098106250166893,13.06572379451245
154,155,0.9775142716243863,11.45660575479269,12.434120026417077
155,156,0.9903193120844662,11.633033230900764,12.62335254298523
156,157,0.9316534083336592,11.587965779006481,12.51961918734014
157,158,0.9559994577430189,11.473530180752277,12.429529638495296
158,159,0.9405799526721239,11.810612834990025,12.751192787662148
159,160,0.9437837065197527,11.383468545973301,12.327252252493054
160,161,0.9448198769241571,11.393210157752037,12.338030034676194
161,162,0.93324691709131,11.500877663493156,12.434124580584466
162,163,0.933485153131187,11.471977464854717,12.405462617985904
163,164,0.9473535562865436,11.757577627897263,12.704931184183806
164,165,0.9739708290435374,11.556950181722641,12.530921010766178
165,166,0.9297303790226579,11.437540099024773,12.36727047804743
166,167,0.9312526215799153,11.439969502389431,12.371222123969346
167,168,0.9211864247918129,11.735801249742508,12.65698767453432
168,169,0.9191323374398053,11.407667711377144,12.32680004881695
169,170,0.9407688765786588,11.512198381125927,12.452967257704586
